"業者/量測點","下載-遠傳電信","下載-中華電信","下載-台灣大哥大","下載-威寶電信","下載-亞太電信","下載-平均","上傳-遠傳電信","上傳-中華電信","上傳-台灣大哥大","上傳-威寶電信","上傳-亞太電信","上傳-平均","階段"
"線西鄉公所","7.18","8.22","5.86","0.33","1.27","4.57","2.10","1.46","1.63","0.30","1.84","1.64","一"
"南投縣","","","","","","","","","","","","",""
"松雪樓入口","2.17","5.35","3.42","0.34","0.00","2.60","0.06","1.26","1.57","0.30","0.00","0.84","一"
"青青草原","9.37","5.20","5.71","3.15","0.08","4.70","1.68","1.48","1.76","0.35","0.50","1.16","一"
"清境7-11大門口","9.83","5.21","6.05","4.29","0.25","5.48","2.07","1.53","1.92","0.39","0.27","1.38","一"
"清境小瑞士花園","7.16","6.48","7.22","3.07","0.21","5.16","1.98","1.56","1.80","0.33","0.19","1.24","一"
"清境服務中心大門口","8.22","6.44","5.59","1.63","0.37","4.45","2.11","1.67","1.85","0.26","1.39","1.46","一"
"盧山老街","9.08","7.19","3.70","0.33","0.17","4.09","2.14","1.74","2.02","0.30","0.20","1.35","一"
"中興新村大門口","6.48","8.18","8.47","3.02","0.75","5.38","1.04","1.63","0.64","0.46","0.69","0.89","一"
"中興會堂中興高中交叉路口","9.27","8.33","6.04","5.24","1.48","6.07","0.68","1.50","0.64","0.41","0.64","0.77","一"
"南投文化中心大門口","8.03","5.75","4.52","4.45","0.59","4.67","1.76","1.39","0.63","0.34","0.63","0.95","一"
"南投縣政府門口","6.94","6.34","6.45","5.56","1.66","5.39","1.05","1.47","0.63","0.43","0.70","0.86","一"
"猴探井風景區天空之橋","5.92","10.54","6.11","0.00","0.00","6.15","1.43","1.58","1.43","0.00","0.00","1.21","一"
"中台禪寺大門口","10.25","10.02","6.68","4.73","0.12","6.36","1.84","1.27","0.60","0.34","0.82","0.97","一"
"埔里酒廠大門口","3.88","2.74","2.92","4.93","0.63","3.02","1.79","1.53","1.39","0.38","0.33","1.06","一"
"埔里鎮農會正門口","5.22","5.50","8.05","3.62","0.38","4.55","1.70","1.48","1.48","0.33","0.42","1.08","一"
"文武廟大廟口","6.47","6.82","7.21","3.17","0.97","4.93","2.04","1.46","1.97","0.36","1.36","1.44","一"
"日月潭纜車車站","8.61","8.93","4.19","2.62","0.60","4.99","2.00","1.68","1.65","0.31","1.04","1.33","一"
"水社碼頭梅荷園石碑","6.28","7.29","5.08","3.47","0.88","4.60","2.14","1.62","1.91","0.33","1.30","1.46","一"
"玄光寺阿婆茶葉蛋","4.67","6.71","5.50","4.29","1.81","4.60","1.71","1.59","1.63","0.35","1.34","1.33","一"
"伊達邵碼頭入口","6.89","9.29","6.49","3.35","1.17","5.44","2.11","1.71","1.53","0.33","1.40","1.42","一"
"向山服務中心大門口","6.98","5.30","5.85","1.86","0.42","4.08","1.79","1.75","1.32","0.30","0.53","1.14","一"
"明新書院大門口","7.37","6.99","7.01","0.34","0.68","4.48","1.85","1.51","1.42","0.30","0.34","1.20","一"
"軍史公園停車場入口","5.85","5.34","3.87","0.34","1.17","3.31","1.83","1.58","1.01","0.26","0.67","1.19","一"
"集集火車站大門口","6.02","5.17","7.48","0.24","0.78","3.94","1.88","1.57","0.63","0.26","0.72","1.01","一"
"集集綠色隧道","5.08","7.36","3.25","0.33","1.33","3.47","1.78","1.41","1.39","0.26","0.73","1.24","一"
"雲林縣","","","","","","","","","","","","",""
"土庫商工校門口","4.08","7.25","4.64","1.80","0.35","3.62","1.35","1.59","1.57","0.29","0.88","1.14","一"
"土庫媽祖廟","6.80","6.69","6.21","2.85","1.36","4.78","1.90","1.68","1.54","0.32","1.24","1.34","一"
"土庫鎮公所","5.42","5.50","5.26","2.95","1.35","4.10","1.98","1.81","1.59","0.32","1.55","1.45","一"
"斗六火車站前站門口","4.75","3.76","2.07","3.75","0.81","3.03","1.61","0.23","0.36","0.32","0.91","0.71","一"
"家樂福美食街","10.13","10.44","9.20","0.31","0.42","6.10","1.80","1.57","1.45","0.06","0.61","1.17","一"
"雲林縣立體育館門口","7.92","8.04","5.57","0.34","1.27","4.63","1.86","1.53","1.34","0.26","0.75","1.28","一"
"斗南大潤發美食街","9.50","10.86","7.35","4.75","0.79","6.65","1.85","1.70","0.63","0.32","0.69","1.04","一"
"斗南火車站候車處","10.45","10.28","7.12","5.27","2.10","7.05","1.87","1.45","0.63","0.33","0.76","1.01","一"
"斗南鎮公所門口","4.62","7.02","6.45","0.34","0.62","3.81","1.61","1.68","0.63","0.00","0.30","0.98","一"
"北港五路財神廟","4.19","5.68","4.86","0.33","0.67","3.15","0.85","1.75","2.00","0.26","0.71","1.18","一"
