MeasureId,MeasureLocation,MeasureDate,County,Township,MeasureAddress,RadiatorTypeName,PowerDensityMax,ItemUnit,Legal
O01109,新竹市延平路二段落地型變壓器,2019-05-17,新竹市,香山區,新竹市延平路二段與浸水北街路口,落地型變壓器,11.96,mG,True
E01251,HE108-05-002,2019-05-17,高雄市,鳥松區,高雄市鳥松區大埤路27號15樓頂(A棟),手機基地臺,0.0065,mW/cm<sup>2</sup>,True
B01131,臺中市南屯區永春東一路719號(全家),2019-05-22,臺中市,南屯區,永春東一路719號,無線區域網路(Wi-Fi),1.8E-05,mW/cm<sup>2</sup>,True
B01130,臺中市南屯區豐樂里永春東路860號(7-11),2019-05-22,臺中市,南屯區,豐樂里永春東路860號,無線區域網路(Wi-Fi),8E-06,mW/cm<sup>2</sup>,True
D01092,臺南市新營區太子宮西方埤子底西方附近,2019-05-09,臺南市,新營區,臺南市新營區太子宮西方埤子底,手機基地臺,6.3E-06,mW/cm<sup>2</sup>,True
D01090,臺南市東區縱貫公路大同機場路口公車站旁,2019-04-09,臺南市,東區,臺南市東區縱貫公路大同機場路口公車站旁,手機基地臺,8.3E-06,mW/cm<sup>2</sup>,True
B01129,漢口國中旁落地型變壓器,2019-05-22,臺中市,西屯區,漢口路一段54-1號,落地型變壓器,7.552,mG,True
V00988,台東縣四維路三段11號17樓,2019-05-22,臺東縣,台東市,四維路三段11號頂樓,手機基地臺,0.01805,mW/cm<sup>2</sup>,True
O01101,新竹市頂埔路與經國路三段92巷落地型變壓器量測,2019-05-13,新竹市,北區,新竹市頂埔路與經國路三段92巷,落地型變壓器,5.38,mG,True
D01080,臺南市新營區太北街140-21號太子國中西方附近,2019-05-09,臺南市,新營區,臺南市新營區太北街140-21號,手機基地臺,5.9E-06,mW/cm<sup>2</sup>,True
O01094,新竹市中華路五段與中華路208巷路口落地型變壓器量測,2019-05-13,新竹市,香山區,新竹市中華路五段與中華路208巷路口,落地型變壓器,3.79,mG,True
O01093,新竹市中華路五段320巷對面落地型變壓器量測,2019-05-13,新竹市,香山區,新竹市中華路五段320巷對面,落地型變壓器,7.02,mG,True
O01092,新竹市中華路五段350號對面落地型變壓器量,2019-05-13,新竹市,香山區,新竹市中華路五段350號對面,落地型變壓器,7.88,mG,True
O01108,新竹市中華路五段648巷對面落地形變壓量測,2019-05-13,新竹市,香山區,新竹市中華路五段648巷對面,落地型變壓器,7.2,mG,True
O01090,新竹市中華路與五福路口落地型變壓器量測,2019-05-13,新竹市,香山區,新竹市中華路六段與五福路路口(天橋下),落地型變壓器,7.8,mG,True
I00758,中山路336號前落地型變壓器,2019-05-10,嘉義市,東區,中山路336號,落地型變壓器,1.866,mG,True
