UNIQUE_IDENTIFIER,PRODUCT_TYPE,PRODUCT,NAME,EVENT,APPLICANT,DATE_OF_EXPIRATION,DATE_OF_APPROVAL
"MON-87427-7xMON-89Ø34-3xDAS-Ø15Ø7-1xMON-88Ø17-3xDAS-59122-7","Stacked trait","Corn","MON87427×MON89034×TC1507×MON88017×DAS-59122-7Corn","MON87427xMON89034xTC1507xMON88017xDAS-59122-7","香港商孟山都遠東股份有限公司台灣分公司","2019-05-07","2014-05-07"
"MON-877Ø5-6xMON-877Ø8-9xMON-89788-1","Stacked trait","Soybean","MON87705 x MON87708 x MON89788 Soybean","MON87705xMON87708xMON89788","香港商孟山都遠東股份有限公司台灣分公司","2022-07-31","2017-07-31"
"SYN-IR6Ø4-5","Single trait","Corn","Insect-resistant Corn","MIR604","Syngenta Taiwan Ltd.","2022-10-22","2007-10-22"
"MON-Ø4Ø32-6","Single trait","Soybean","Roundup Ready Soybean","40-3-2","香港商孟山都遠東股份有限公司台灣分公司","2022-07-22","2002-07-22"
"DAS-59122-7","Single trait","Corn","Insect resistant and Glufosinate tolerant Maize","DAS-59122-7","DuPont Taiwan","2020-12-21","2005-12-21"
"MON-88Ø17-3","Single trait","Corn","YieldGard Rootworm/ Roundup Ready Corn","MON88017","香港商孟山都遠東股份有限公司台灣分公司","2021-03-20","2006-03-20"
"DAS-Ø15Ø7-1xMON-ØØ81Ø-6xMON-ØØ6Ø3-6","Stacked trait","Corn","TC1507xMON810xNK603 Maize","TC1507xMON810xNK603","DuPont Taiwan","2021-05-30","2011-05-30"
"MON-ØØ81Ø-6","Single trait","Corn","YieldGard Corn","MON810","香港商孟山都遠東股份有限公司台灣分公司","2022-10-15","2002-10-15"
"DAS-Ø15Ø7-1","Single trait","Corn","Insect-resistant & Glufosinate tolerant Corn","TC1507","DuPont Taiwan","2018-11-17","2003-11-17"
"MON-ØØ81Ø-6xMON-ØØ6Ø3-6","Stacked trait","Corn","YieldGard x Roundup Ready Corn 2","MON810xNK603","香港商孟山都遠東股份有限公司台灣分公司","2019-02-17","2009-02-17"
"DAS-Ø15Ø7-1xDAS-59122-7","Stacked trait","Corn","TC1507xDAS-59122-7 Maize","TC1507xDAS-59122-7","DuPont Taiwan","2019-12-15","2009-12-15"
"MON-ØØ6Ø3-6","Single trait","Corn","Roundup Ready Corn","NK603","香港商孟山都遠東股份有限公司台灣分公司","2018-04-11","2003-04-11"
"SYN-BTØ11-1","Single trait","Corn","Insect-resistant & Glufosinate tolerant Corn","Bt11","Syngenta Taiwan Ltd.","2018-06-02","2004-06-02"
"MON-89788-1","Single trait","Soybean","Roundup Ready 2 Yield Soybean","MON89788","香港商孟山都遠東股份有限公司台灣分公司","2017-12-28","2007-12-28"
"MON-89Ø34-3xMON-ØØ6Ø3-6","Stacked trait","Corn","YieldGard VT PRO x Roundup Ready Corn 2","MON89034xNK603","香港商孟山都遠東股份有限公司台灣分公司","2019-02-17","2009-02-17"
"MON-88Ø17-3xMON-ØØ81Ø-6","Stacked trait","Corn","YieldGard VT Triple Corn","MON88017xMON810","香港商孟山都遠東股份有限公司台灣分公司","2019-02-17","2009-02-17"
"SYN-BTØ11-1xSYN-IR6Ø4-5","Stacked trait","Corn","Bt11 x MIR604 Maize","Bt11xMIR604","Syngenta Taiwan Ltd.","2019-08-03","2009-08-03"
"SYN-BTØ11-1xMON-ØØØ21-9","Stacked trait","Corn","Bt11 x GA21 Maize","Bt11xGA21","Syngenta Taiwan Ltd.","2019-08-03","2009-08-03"
"DAS-59122-7xMON-ØØ6Ø3-6","Stacked trait","Corn","DAS-59122-7 x NK603 Maize","DAS-59122-7xNK603","DuPont Taiwan","2021-01-03","2011-01-03"
"MON-89Ø34-3xDAS-Ø15Ø7-1xMON-88Ø17-3xDAS-59122-7","Stacked trait","Corn","MON89034 x TC1507 x MON88017 x DAS-59122-7 Corn","MON89034xTC1507xMON88017xDAS-59122-7","香港商孟山都遠東股份有限公司台灣分公司","2019-10-12","2009-10-12"
"MON-ØØ6Ø3-6xACS-ZMØØ3-2","Stacked trait","Corn","Glyphosate-Tolerant and Glufosinate-Tolerant Corn","NK603xT25","香港商孟山都遠東股份有限公司台灣分公司","2021-05-30","2011-05-30"
"SYN-ØØØJG-2","Single trait","Corn","Herbicide Tolerant Corn","MZHG0JG","Syngenta Taiwan Ltd.","2022-08-10","2017-08-10"
"SYN-IR6Ø4-5xMON-ØØØ21-9","Stacked trait","Corn","MIR604 x GA21 Maize","MIR604xGA21","Syngenta Taiwan Ltd.","2019-08-03","2009-08-03"
"DAS-Ø15Ø7-1xDAS-59122-7xMON-ØØ6Ø3-6","Stacked trait","Corn","TC1507xDAS-59122-7xNK603 Maize","TC1507xDAS-59122-7xNK603","DuPont Taiwan","2019-12-15","2009-12-15"
"SYN-BTØ11-1xSYN-IR162-4xMON-ØØØ21-9","Stacked trait","Corn","Bt11xMIR162xGA21 Maize","Bt11xMIR162xGA21","Syngenta Taiwan Ltd.","2021-05-30","2011-05-30"
"SYN-BTØ11-1xSYN-IR162-4xMON-89Ø34-3xMON-ØØØ21-9","Stacked trait","Corn","Bt11 x MIR162 x MON89034 x GA21 Maize","Bt11xMIR162xMON89034xGA21","Syngenta Taiwan Ltd.","2022-09-10","2017-09-10"
"SYN-ØØØH2-5","Single trait","Soybean","Herbicide Tolerant Soybean","SYHT0H2","Syngenta Taiwan Ltd.","2019-03-28","2014-03-28"
"MON-ØØ6Ø3-6xDAS-4Ø278-9","Stacked trait","Corn","NK603 x DAS-40278-9 Corn","NK603xDAS-40278-9","Dow AgroSciences Taiwan Ltd.","2018-10-29","2013-10-29"
"SYN-BTØ11-1xSYN-IR162-4xSYN-IR6Ø4-5xDAS-Ø15Ø7-1xSYN-Ø53Ø7-1xMON-ØØØ21-9","Stacked trait","Corn","Bt11×MIR162×MIR604×TC1507×5307×GA21 Maize","Bt11xMIR162xMIR604xTC1507x5307xGA21","Syngenta Taiwan Ltd.","2018-10-15","2013-10-15"
"DAS-68416-4","Single trait","Soybean","DAS-68416-4 soybean","DAS-68416-4","Dow AgroSciences Taiwan Ltd.","2018-12-16","2013-12-16"
"DAS-Ø15Ø7-1xMON-ØØ6Ø3-6","Stacked trait","Corn","TC1507xNK603 Maize","TC1507xNK603","DuPont Taiwan","2019-12-02","2009-12-02"
"MST-FGØ72-2","Single trait","Soybean","Double-Herbicide-Tolerant Soybean Event FG72","FG72","Bayer Taiwan Ltd.","2018-12-24","2013-12-24"
